流水號,主編號,屬性,又音
919,12207,又唸作,ní-póo
920,12209,又唸作,ìng-kai
921,12210,又唸作,ìng-kai-jiân/ìng-kai-liân
922,12212,又唸作,tshǹg-phīnn
923,12213,又唸作,hì-ki̍k
924,12279,又唸作,muâi
925,12309,又唸作,tsóng-ba̍uh
926,12310,又唸作,muâi-pn̄g
927,12356,又唸作,siann-bōng
928,12358,又唸作,po̍h-hô
929,12372,又唸作,oh-giô
930,12390,又唸作,kiunn-bú
931,12391,又唸作,kiunn-bú-ah
932,12398,又唸作,khui-sún
933,12409,又唸作,khóo-á-te
934,12429,又唸作,bî-tshai
935,12435,又唸作,tshíng-kha-ke/tshíng-kha-kue
936,12444,又唸作,lìn
937,12458,俗唸作,phiah-bián
938,12463,又唸作,lìn-tńg
939,12517,又唸作,páinn
940,12527,又唸作,iau-ti
941,12531,又唸作,tn̄g-tsiáng
942,12540,又唸作,phok-phok
943,12546,又唸作,nà
944,12548,又唸作,nah-ji̍t/nah-li̍t
945,12549,又唸作,pun-nn̂g
946,12601,又唸作,tsit-guân
947,12622,又唸作,tsit-kuân
948,12638,又唸作,giô-pe
949,12648,又唸作,hiau-than
950,12680,又唸作,tsiau-that
951,12693,又唸作,lî
952,12705,又唸作,ke-bú/kue-bú
953,12706,又唸作,ke-bú-phuê/kue-bú-phê
954,12707,又唸作,ke-bú-thâng/kue-bú-thâng
955,12787,又唸作,iānn-hong
956,12788,又唸作,iānn-tshik
957,12827,又唸作,láng-kuân
958,12831,又唸作,pān
959,12832,又唸作,ngāi
960,12833,又唸作,ngāi-ba̍k
961,12835,又唸作,po̍k-tsah
962,12836,又唸作,ngāi-gio̍h
963,12838,又唸作,sih-nà
964,12838,又唸作,sinnh-nà
965,12843,又唸作,nî
966,12854,俗唸作,pho̍k-á
967,12865,又唸作,puànn-ki-kah
968,12983,又唸作,jióng
969,13029,又唸作,kìng-tsing
970,13053,又唸作,kìng-kò
971,13054,又唸作,kìng-kài
972,13060,又唸作,gī-guân
973,13061,又唸作,kak-gōo
974,13064,又唸作,kìng-pò
975,13070,又唸作,kìng-tshat
976,13071,又唸作,kìng-tshat-kio̍k
